,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
0,Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,01-01-1982
1,Accident,Non-Fatal,Substantial,Airplane,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,01-01-1982
2,Accident,Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Cruise,02-01-1983
3,Accident,Fatal(1),Destroyed,Airplane,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,02-01-1983
4,Accident,Fatal(1),Destroyed,Airplane,Navion,A,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,02-01-1983
5,Accident,Non-Fatal,Destroyed,Helicopter,Enstrom,280C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,02-01-1983
6,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,02-01-1983
7,Accident,Non-Fatal,Substantial,Helicopter,Smith,WCS-222 (BELL 47G),1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,02-01-1983
8,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,02-01-1983
9,Accident,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,02-01-1983
10,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Approach,02-01-1983
11,Incident,Incident,Minor,Airplane,Piper,PA-24-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,03-01-1983
12,Accident,Fatal(1),Destroyed,Airplane,Beechcraft,BE-58,2.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Approach,03-01-1983
13,Accident,Non-Fatal,Substantial,Airplane,Maule,M-5-235C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,03-01-1983
14,Accident,Non-Fatal,Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Descent,03-01-1983
15,Accident,Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,1.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Takeoff,03-01-1983
16,Accident,Fatal(1),Destroyed,Airplane,Cessna,206,1.0,Reciprocating,Business,1.0,0.0,1.0,1.0,Taxi,04-01-1983
17,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,05-01-1983
18,Incident,Incident,Minor,Airplane,Rockwell,114,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Cruise,05-01-1983
19,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,1.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Cruise,05-01-1983
20,Accident,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Taxi,05-01-1983
21,Accident,Non-Fatal,Substantial,Airplane,Cessna,340,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Approach,06-01-1983
22,Accident,Non-Fatal,Substantial,Helicopter,Aerospatiale,SA-316B,1.0,Turbo Shaft,Business,0.0,0.0,0.0,0.0,Taxi,06-01-1983
23,Accident,Non-Fatal,Substantial,Airplane,Beech,35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Climb,06-01-1983
24,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Approach,06-01-1983
25,Accident,Non-Fatal,Substantial,Airplane,Mooney,M-20J,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,06-01-1983
26,Accident,Non-Fatal,Substantial,Airplane,Beech,V35,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,07-01-1983
27,Accident,Non-Fatal,Substantial,Airplane,Curtis,C46,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Standing,07-01-1983
28,Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Approach,08-01-1983
29,Accident,Non-Fatal,Substantial,Airplane,Cessna,TU206G,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,08-01-1983
30,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,08-01-1983
31,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-24-250,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,08-01-1983
32,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,08-01-1983
33,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,08-01-1983
34,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,08-01-1983
35,Accident,Non-Fatal,Substantial,Glider,Schleicher,ASW 20,0.0,Unknown,Personal,0.0,0.0,0.0,0.0,Landing,09-01-1983
36,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,09-01-1983
37,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-34,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,09-01-1983
38,Accident,Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,09-01-1983
39,Accident,Non-Fatal,Substantial,Airplane,Cessna,182A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Approach,09-01-1983
40,Accident,Non-Fatal,Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,10-01-1983
41,Accident,Non-Fatal,Destroyed,Airplane,Piper,23-250,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,10-01-1983
42,Accident,Non-Fatal,Substantial,Airplane,Quickie,1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,10-01-1983
43,Accident,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,11-01-1983
44,Accident,Non-Fatal,Substantial,Airplane,Cessna,310L,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,11-01-1983
45,Incident,Incident,Minor,Airplane,Embraer,EMB-110P1,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Taxi,12-01-1983
46,Accident,Non-Fatal,Destroyed,Airplane,Grumman,AA5B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Descent,13-01-1983
47,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,13-01-1983
48,Accident,Non-Fatal,Substantial,Airplane,Beech,A23-24,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,13-01-1983
49,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Approach,13-01-1983
50,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,15-01-1983
51,Accident,Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Taxi,15-01-1983
52,Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,15-01-1983
53,Accident,Non-Fatal,Substantial,Airplane,Beech,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,15-01-1983
54,Accident,Non-Fatal,Substantial,Airplane,De Havilland,DHC-2-MK3,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Landing,15-01-1983
55,Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Go-around,16-01-1983
56,Accident,Fatal(1),Destroyed,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,17-01-1983
57,Accident,Fatal(1),Destroyed,Airplane,Bede Aircraft,BD-5B,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Maneuvering,17-01-1983
58,Accident,Non-Fatal,Destroyed,Airplane,Cessna,182P,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Other,17-01-1983
59,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-31,2.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Approach,17-01-1983
60,Accident,Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Takeoff,17-01-1983
61,Accident,Non-Fatal,Substantial,Airplane,Cessna,180E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Maneuvering,17-01-1983
62,Accident,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,17-01-1983
63,Accident,Non-Fatal,Substantial,Helicopter,Bell,206B,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Maneuvering,17-01-1983
64,Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,18-01-1983
65,Accident,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,18-01-1983
66,Accident,Fatal(1),Destroyed,Airplane,Mooney,M20F,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,Takeoff,19-01-1983
67,Incident,Incident,Minor,Airplane,De Havilland,DHC-6-300,2.0,Turbo Prop,Ferry,0.0,0.0,0.0,0.0,Descent,19-01-1983
68,Accident,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Takeoff,19-01-1983
69,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,19-01-1983
70,Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Aerial Observation,0.0,0.0,1.0,0.0,Cruise,19-01-1983
71,Accident,Non-Fatal,Substantial,Airplane,Cessna,177RG,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Climb,19-01-1983
72,Accident,Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Climb,19-01-1983
73,Accident,Non-Fatal,Substantial,Airplane,Cessna,182E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,19-01-1983
74,Accident,Non-Fatal,Substantial,Airplane,Cessna,150H,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,19-01-1983
75,Accident,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Cruise,19-01-1983
76,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,19-01-1983
77,Accident,Non-Fatal,Substantial,Airplane,Canadair,CL-44D4,4.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Landing,19-01-1983
78,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-32,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,19-01-1983
79,Incident,Incident,Minor,Airplane,Piper,PA-31-350,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,0.0,Takeoff,20-01-1983
80,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Business,1.0,0.0,0.0,1.0,Approach,20-01-1983
81,Accident,Fatal(1),Substantial,Airplane,Cessna,210,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Approach,20-01-1983
82,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,20-01-1983
83,Accident,Non-Fatal,Substantial,Helicopter,Hughes,269C,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,20-01-1983
84,Accident,Fatal(1),Destroyed,Airplane,Cessna,402A,2.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Approach,21-01-1983
85,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-28-235,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,21-01-1983
86,Accident,Fatal(1),Destroyed,Airplane,Grumman,AA-1,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,21-01-1983
87,Accident,Non-Fatal,Destroyed,Airplane,Cessna,207,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Landing,21-01-1983
88,Accident,Non-Fatal,Substantial,Airplane,Mooney,M-20,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,21-01-1983
89,Accident,Non-Fatal,Substantial,Airplane,Air Tractor,301,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,21-01-1983
90,Accident,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,22-01-1983
91,Accident,Non-Fatal,Substantial,Helicopter,Sikorsky,S-58J,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Maneuvering,22-01-1983
92,Accident,Non-Fatal,Destroyed,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Takeoff,23-01-1983
93,Accident,Fatal(1),Destroyed,Airplane,Beech,A23A,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,23-01-1983
94,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-32-300,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,23-01-1983
95,Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,23-01-1983
96,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-34-200T,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,23-01-1983
97,Accident,Non-Fatal,Substantial,Helicopter,Bell/textron,206 L-1,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,0.0,Landing,23-01-1983
98,Accident,Non-Fatal,Substantial,Helicopter,Bell,47G-2,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Maneuvering,23-01-1983
99,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,Go-around,23-01-1983
100,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,24-01-1983
101,Accident,Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Standing,24-01-1983
102,Accident,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Descent,24-01-1983
103,Accident,Non-Fatal,Substantial,Airplane,Cessna,152II,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Descent,25-01-1983
104,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,26-01-1983
105,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Taxi,26-01-1983
106,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,26-01-1983
107,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,26-01-1983
108,Accident,Fatal(1),Destroyed,Helicopter,Bell,UH1B,1.0,Turbo Shaft,Unknown,1.0,0.0,0.0,1.0,Maneuvering,27-01-1983
109,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,27-01-1983
110,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Taxi,27-01-1983
111,Accident,Non-Fatal,Substantial,Airplane,Aeronca,7BCM,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,27-01-1983
112,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,27-01-1983
113,Accident,Fatal(1),Destroyed,Airplane,Piper,28-151,1.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Cruise,28-01-1983
114,Accident,Non-Fatal,Substantial,Airplane,Cessna,340A,2.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,28-01-1983
115,Accident,Non-Fatal,Substantial,Airplane,Cessna,172H,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,28-01-1983
116,Accident,Non-Fatal,Substantial,Airplane,Mooney,M20C,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,28-01-1983
117,Accident,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Takeoff,28-01-1983
118,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-32-260,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Approach,28-01-1983
119,Accident,Fatal(1),Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,29-01-1983
120,Accident,Fatal(1),Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Maneuvering,29-01-1983
121,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Maneuvering,29-01-1983
122,Incident,Incident,Minor,Airplane,Piper,PA-28R-201T,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,30-01-1983
123,Accident,Non-Fatal,Destroyed,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Climb,30-01-1983
124,Accident,Fatal(1),Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Takeoff,30-01-1983
125,Accident,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,30-01-1983
126,Accident,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,30-01-1983
127,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,30-01-1983
128,Accident,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,30-01-1983
129,Accident,Non-Fatal,Substantial,Airplane,Cessna,182L,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,30-01-1983
130,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,30-01-1983
131,Accident,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Landing,30-01-1983
132,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Takeoff,31-01-1983
133,Accident,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Approach,31-01-1983
134,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Landing,31-01-1983
135,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Approach,31-01-1983
136,Accident,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,31-01-1983
137,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,31-01-1983
138,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,31-01-1983
139,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,31-01-1983
140,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,01-02-1983
141,Accident,Non-Fatal,Substantial,Airplane,Cessna,TR182,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-02-1983
142,Accident,Non-Fatal,Substantial,Airplane,Cessna,P206,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,01-02-1983
143,Accident,Non-Fatal,Substantial,Airplane,Grumman,1159,2.0,Turbo Jet,Executive/corporate,0.0,0.0,0.0,0.0,Landing,01-02-1983
144,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-23-250,2.0,Reciprocating,Unknown,1.0,0.0,0.0,1.0,Approach,02-02-1983
145,Accident,Non-Fatal,Substantial,Airplane,Cessna,U206G,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,02-02-1983
146,Accident,Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,02-02-1983
147,Accident,Non-Fatal,Substantial,Airplane,Smith Miniplane,BK-1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,02-02-1983
148,Accident,Fatal(1),Destroyed,Airplane,Mooney,M20J,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Climb,03-02-1983
149,Accident,Non-Fatal,Substantial,Airplane,Cessna,150J,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Maneuvering,03-02-1983
150,Accident,Non-Fatal,Substantial,Airplane,Taylorcraft,F19,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,03-02-1983
151,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,0.0,Cruise,03-02-1983
152,Accident,Non-Fatal,Substantial,Airplane,Ted Smith,AEROSTAR 600,2.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Approach,03-02-1983
153,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7KCAB,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,04-02-1983
154,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Executive/corporate,0.0,0.0,0.0,0.0,Takeoff,04-02-1983
155,Accident,Non-Fatal,Minor,Airplane,Boeing,A75N1,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Taxi,06-02-1983
156,Accident,Non-Fatal,Minor,Airplane,Bellanca,7KCAB,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Standing,06-02-1983
157,Accident,Non-Fatal,Substantial,Airplane,Taylorcraft,BC12-D,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,06-02-1983
158,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,06-02-1983
159,Accident,Non-Fatal,Substantial,Balloon,Raven,S-55A,0.0,Unknown,Personal,0.0,0.0,0.0,0.0,Landing,06-02-1983
160,Accident,Non-Fatal,Substantial,Airplane,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Taxi,06-02-1983
161,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,06-02-1983
162,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,06-02-1983
163,Accident,Non-Fatal,Substantial,Airplane,Ercoupe,415-C,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,06-02-1983
164,Accident,Non-Fatal,Substantial,Airplane,Cessna,182H,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,06-02-1983
165,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,07-02-1983
166,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7KCAB,1.0,Reciprocating,Personal,0.5797562268150503,0.26677190213101815,0.4493475682087782,0.5797562268150503,Landing,05-05-2011
167,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,07-02-1983
168,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,07-02-1983
169,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,07-02-1983
170,Accident,Non-Fatal,Substantial,Airplane,Cessna,177RG,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Taxi,07-02-1983
171,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,07-02-1983
172,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Cruise,07-02-1983
173,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,07-02-1983
174,Accident,Fatal(1),Destroyed,Airplane,Cessna,172N,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Cruise,08-02-1983
175,Accident,Non-Fatal,Destroyed,Airplane,Cessna,C-172,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Climb,08-02-1983
176,Accident,Fatal(1),Substantial,Airplane,Piper,PA-18A-150,1.0,Reciprocating,Business,1.0,0.0,0.0,1.0,Takeoff,08-02-1983
177,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,08-02-1983
178,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28R-201,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,08-02-1983
179,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Landing,08-02-1983
180,Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Approach,08-02-1983
