,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
639,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,18-04-1983
640,Accident,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,18-04-1983
641,Accident,Non-Fatal,Substantial,Airplane,De Havilland,DH-82A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,18-04-1983
642,Accident,Non-Fatal,Substantial,Airplane,Evans Aircraft,VP-1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,18-04-1983
643,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,18-04-1983
644,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,18-04-1983
645,Accident,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,18-04-1983
646,Accident,Non-Fatal,Substantial,Airplane,Beech,C23-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,18-04-1983
647,Accident,Non-Fatal,Substantial,Airplane,Boeing,727-200,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,0.0,Landing,18-04-1983
648,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,19-04-1983
649,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,19-04-1983
650,Accident,Non-Fatal,Substantial,Helicopter,Hughes,500C,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,0.0,Landing,19-04-1983
651,Incident,Incident,Minor,Airplane,Rockwell,NA-265-65,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,0.0,Approach,20-04-1983
652,Incident,Incident,Minor,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,20-04-1983
653,Incident,Incident,Minor,Airplane,Lockheed,L-1011,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,0.0,Landing,20-04-1983
654,Accident,Non-Fatal,Destroyed,Airplane,Cessna,150K,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Climb,20-04-1983
655,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,20-04-1983
656,Accident,Non-Fatal,Substantial,Airplane,Maule,M-4,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,20-04-1983
657,Accident,Non-Fatal,Substantial,Airplane,Cessna,A150M,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Takeoff,20-04-1983
658,Accident,Fatal(1),Destroyed,Airplane,Beech,B95,2.0,Reciprocating,Business,1.0,0.0,0.0,1.0,Maneuvering,21-04-1983
659,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,21-04-1983
660,Accident,Non-Fatal,Substantial,Airplane,Pitts Special,S-1C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,21-04-1983
661,Accident,Non-Fatal,Substantial,Helicopter,Sikorsky,H-19A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,Maneuvering,21-04-1983
662,Accident,Non-Fatal,Substantial,Helicopter,Robinson,R-22,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Maneuvering,21-04-1983
663,Accident,Non-Fatal,Substantial,Helicopter,Hughes,269A,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,Landing,21-04-1983
664,Accident,Non-Fatal,Substantial,Airplane,Cessna,320A,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,21-04-1983
665,Accident,Fatal(1),Destroyed,Airplane,Piper,PA-38-112,1.0,Reciprocating,Instructional,1.0,0.0,0.0,1.0,Approach,22-04-1983
666,Accident,Non-Fatal,Substantial,Airplane,Cessna,172D,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Go-around,22-04-1983
667,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,22-04-1983
668,Accident,Non-Fatal,Substantial,Airplane,Piper,J5A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,22-04-1983
669,Accident,Non-Fatal,Substantial,Airplane,Tailwind,A-M-1,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,22-04-1983
670,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18-180,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Maneuvering,22-04-1983
671,Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,22-04-1983
672,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,22-04-1983
673,Accident,Non-Fatal,Substantial,Helicopter,Bell,206L-1,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,0.0,Cruise,22-04-1983
674,Accident,Fatal(1),Destroyed,Airplane,Grumman,G-164,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,1.0,Maneuvering,23-04-1983
675,Accident,Non-Fatal,Substantial,Airplane,Aerotek-pitts,S-2A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,23-04-1983
676,Accident,Non-Fatal,Substantial,Airplane,North American,SNJ-2,1.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Landing,23-04-1983
677,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,23-04-1983
678,Accident,Non-Fatal,Substantial,Airplane,Beech,A60,2.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,23-04-1983
679,Accident,Non-Fatal,Substantial,Airplane,Bellanca,7ECA,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,23-04-1983
680,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,23-04-1983
681,Accident,Non-Fatal,Substantial,Airplane,Cessna,182P,1.0,Reciprocating,Business,0.0,0.0,0.0,0.0,Landing,23-04-1983
682,Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,23-04-1983
683,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,23-04-1983
684,Accident,Fatal(1),Destroyed,Airplane,Beech,23,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Descent,24-04-1983
685,Accident,Fatal(1),Minor,Helicopter,S.n.i.a.s.,AS350,1.0,Turbo Shaft,Unknown,1.0,0.0,0.0,1.0,Standing,24-04-1983
686,Accident,Non-Fatal,Destroyed,Airplane,Bellanca,7ECA,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,24-04-1983
687,Accident,Non-Fatal,Substantial,Airplane,Weatherly,201A,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,Landing,24-04-1983
688,Accident,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,24-04-1983
689,Accident,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,24-04-1983
690,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,24-04-1983
691,Accident,Non-Fatal,Substantial,Airplane,Beech,77,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,24-04-1983
692,Accident,Non-Fatal,Substantial,Airplane,Beech,BE-23,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,24-04-1983
693,Accident,Non-Fatal,Substantial,Airplane,Hartman,KR-II,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,24-04-1983
694,Accident,Non-Fatal,Destroyed,Airplane,Rand,KR-1 CATFISH,1.0,Reciprocating,Unknown,0.0,0.0,0.0,0.0,Takeoff,25-04-1983
695,Accident,Non-Fatal,Substantial,Airplane,Grumman,G-164A,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,0.0,Maneuvering,25-04-1983
696,Accident,Non-Fatal,Substantial,Airplane,Homebuilt,MUSTANG II,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,25-04-1983
